idMUNICIPIO,NomeM,POP_2010,POP_2013,POP_2014,POP_2015,POP_2016,QTD_IES,IDH_2010,GINI_2010,PIB_2010,PERCAPITA_2010,UF_idUF
762,Imbuia,5709,5848,5894,5941,5987,0,0.71300000,0.4922,98720.976,17292.17,24
763,Tiros,6906,6707,6640,6574,6507,0,0.68300003,0.5427,120814.957,17494.20,11
764,"Nova Bréscia",3184,2770,2632,2494,2356,0,0.77800000,0.5781,66171.408,20782.48,23
765,"Santa Cruz De Monte Castelo",8093,7948,7899,7851,7802,0,0.70999998,0.3819,99091.682,12244.12,18
766,Relvado,2155,2113,2099,2086,2072,0,0.73100001,0.4491,35256.262,16360.21,23
767,"Laranjal Paulista",25246,26176,26486,26797,27107,0,0.72899997,0.4197,462009.590,18300.31,26
768,Porto,11897,12294,12427,12559,12691,0,0.54900002,0.5672,38436.360,3230.76,17
769,Aracaju,570937,603758,614698,625639,636579,3,0.76999998,0.6341,8751493.737,15328.30,25
770,"Nova Veneza",8129,8644,8815,8987,9158,0,0.71799999,0.4343,85803.098,10555.18,9
771,Caetés,26577,27309,27553,27797,28041,0,0.52200001,0.6031,105518.000,3970.28,16
772,"Tabocas Do Brejo Velho",11428,11071,10952,10833,10713,0,0.58399999,0.5410,51393.363,4497.14,5
773,"Monte Alegre Do 5",7148,7396,7479,7562,7644,0,0.75900000,0.4774,129293.422,18088.06,26
774,Tuntum,39257,40411,40795,41180,41565,0,0.57200003,0.5713,152249.690,3878.28,10
775,Jacaraú,13952,13903,13886,13870,13853,0,0.55800003,0.5499,65351.729,4684.04,15
776,Aramina,5150,5266,5305,5344,5382,0,0.74000001,0.4301,79887.218,15512.08,26
777,Caxingó,5039,5307,5396,5485,5574,0,0.48800001,0.5264,22754.247,4515.63,17
778,Anahy,2865,2821,2807,2792,2777,0,0.69499999,0.4353,42455.128,14818.54,18
779,Lagoinha,4840,4805,4793,4782,4770,0,0.69300002,0.4855,51478.335,10636.02,26
780,Jequitinhonha,24179,24562,24690,24818,24945,0,0.61500001,0.5509,128564.450,5317.19,11
781,"Água Fria De Goiás",5095,5283,5345,5408,5471,0,0.67100000,0.6123,130833.509,25678.80,9
782,Embaúba,2423,2407,2401,2396,2390,0,0.73000002,0.3658,42292.742,17454.70,26
783,Dourados,196068,205404,208516,211628,214739,1,0.74699998,0.5311,3543857.562,18074.64,12
784,Jequitibá,5153,5148,5146,5144,5142,0,0.68900001,0.7832,59578.537,11561.91,11
785,Ataléia,14451,13762,13533,13303,13073,0,0.58800000,0.4920,90375.720,6253.94,11
786,"São José Do Cedro",13672,13670,13670,13669,13668,0,0.73100001,0.4820,266598.736,19499.61,24
787,Arcoverde,69157,71424,72180,72936,73691,0,0.66700000,0.5970,415858.390,6013.25,16
788,"Campo Redondo",10266,10586,10692,10799,10905,0,0.62599999,0.5644,45819.195,4463.20,20
789,Anchieta,6378,6152,6076,6001,5925,0,0.69900000,0.4369,93748.342,14698.71,24
790,Xambrê,6011,5864,5815,5767,5718,0,0.70599997,0.4879,50435.905,8390.60,18
791,Ipatinga,239177,247181,249849,252518,255186,2,0.77100003,0.5236,7391668.849,30904.60,11
792,Mirante,10512,9566,9250,8935,8620,0,0.52700001,0.5217,34945.020,3324.30,5
793,Alterosa,13714,13935,14009,14083,14157,0,0.66799998,0.4527,120865.873,8813.32,11
794,Ipê,6017,6185,6241,6298,6354,0,0.72799999,0.4708,118146.730,19635.49,23
795,Segredo,7158,7232,7257,7282,7306,0,0.65899998,0.4938,83993.766,11734.25,23
796,"Vila Flores",3207,3243,3255,3268,3280,0,0.74199998,0.3253,87860.941,27396.61,23
797,"Água Doce Do 3",11771,11477,11379,11281,11183,0,0.65200001,0.4892,85601.245,7272.22,8
798,"Mata Roma",15123,16120,16453,16785,17117,0,0.56999999,0.5793,61918.162,4094.30,10
799,"Coração De Maria",22431,22015,21876,21738,21599,0,0.59200001,0.5293,115074.261,5130.14,5
800,Rolândia,57870,60408,61254,62100,62946,0,0.73900002,0.4622,1278967.631,22100.70,18
801,Rolante,19493,19986,20150,20314,20478,0,0.68800002,0.3518,269630.792,13832.19,23
802,"Flor Da Serra Do 5",4725,4625,4591,4558,4525,0,0.68199998,0.4617,66204.948,14011.63,18
803,"Colônia Do Gurguéia",6035,6342,6444,6547,6649,0,0.62800002,0.4964,24186.442,4007.70,17
804,Siriri,8006,8334,8443,8552,8661,0,0.60900003,0.4790,100747.115,12583.95,25
805,"Santa Cruz dos Milagres",3794,3932,3978,4024,4070,0,0.57700002,0.4455,15892.159,4188.76,17
806,"Dias Dávila",66373,72685,74789,76893,78997,0,0.67600000,0.5337,2172582.522,32732.93,5
807,Cruzália,2270,2168,2134,2100,2066,0,0.77399999,0.4393,66304.119,29208.86,26
808,"Pará De Minas",84252,87626,88750,89875,90999,0,0.72500002,0.4348,1651741.737,19604.78,11
809,"Ribeirão Das Neves",296376,311235,316188,321141,326094,0,0.68400002,0.4080,1926219.220,6499.24,11
810,"Bias Fortes",3796,3617,3558,3498,3438,0,0.62000000,0.4184,26889.372,7083.61,11
811,Vieirópolis,5045,5157,5194,5232,5269,0,0.57099998,0.4526,19721.659,3909.15,15
812,Videira,47204,48889,49450,50012,50573,1,0.76400000,0.4776,1402977.617,29721.58,24
813,Piatã,17985,17687,17588,17489,17390,0,0.57099998,0.5569,65997.461,3669.58,5
814,Macaparana,23907,24331,24472,24614,24755,0,0.60900003,0.5139,118798.925,4969.21,16
815,"Milagres Do Maranhão",8118,9009,9306,9603,9899,0,0.52700001,0.5357,33651.515,4145.30,10
816,"Lençóis Paulista",61454,63378,64019,64660,65301,0,0.76400000,0.4426,2126645.351,34605.48,26
817,Xaxim,25697,26549,26833,27117,27401,0,0.75199997,0.4452,554906.025,21594.19,24
818,Flexeiras,12339,12447,12483,12519,12555,0,0.52700001,0.4796,51401.776,4165.80,2
819,Perdigão,8912,9874,10194,10515,10835,0,0.70300001,0.3521,74511.504,8360.81,11
820,Fraiburgo,34555,35037,35198,35359,35519,0,0.73100001,0.4972,567937.014,16435.74,24
821,"Santa Mariana",12437,12127,12024,11921,11817,0,0.69999999,0.4377,153539.556,12345.39,18
822,"Nova Olímpia",5506,5574,5596,5619,5642,0,0.70999998,0.3991,43549.222,7909.41,18
823,"Campo Largo",112486,118397,120368,122338,124308,0,0.74500000,0.4535,1640607.221,14584.99,18
824,Cajati,28371,28114,28029,27943,27857,0,0.69400001,0.4837,524593.122,18490.47,26
825,Mataraca,7404,7975,8166,8356,8546,0,0.53600001,0.5010,64288.129,8682.89,15
826,Cumari,2961,2918,2903,2889,2875,0,0.73699999,0.5869,47195.470,15939.03,9
827,Passira,28664,28524,28477,28430,28383,0,0.59200001,0.5137,128226.442,4473.43,16
828,"Santana Do Seridó",2526,2571,2586,2601,2615,0,0.64200002,0.4068,17293.250,6846.10,20
829,"Antônio Prado",12837,12813,12805,12797,12788,0,0.75800002,0.4164,282715.033,22023.45,23
830,"Cajueiro Da Praia",7163,7475,7579,7684,7788,0,0.54600000,0.6448,27556.957,3847.13,17
831,Estação,6011,5946,5924,5903,5881,0,0.75300002,0.4633,119074.136,19809.37,23
832,Ibitiara,15519,15842,15949,16057,16165,0,0.58499998,0.5540,56916.851,3667.56,5
833,Inhangapi,10064,10779,11017,11256,11494,0,0.57200003,0.5257,36331.497,3610.05,14
834,Arapeí,2492,2454,2442,2429,2416,0,0.68000001,0.3981,29832.337,11971.24,26
835,"Major Gercino",3279,3320,3333,3347,3361,0,0.69800001,0.5299,35638.117,10868.59,24
836,"Rio Grande Da Serra",44084,46182,46881,47581,48280,0,0.74900001,0.4048,487295.330,11053.79,26
837,"Serra Azul",11259,12403,12784,13166,13547,0,0.68599999,0.4573,82008.123,7283.78,26
838,Marcolândia,7810,8300,8463,8626,8789,0,0.56199998,0.4891,30049.214,3847.53,17
839,"Palestina De Goiás",3382,3405,3412,3420,3427,0,0.71300000,0.3851,42113.812,12452.34,9
840,"Mar Vermelho",3652,3524,3482,3439,3396,0,0.57700002,0.4801,16103.986,4409.63,2
841,Guiratinga,13867,14234,14356,14478,14600,0,0.70499998,0.4971,198211.990,14293.79,13
842,"Nova Resende",15373,15819,15967,16116,16265,0,0.67100000,0.4655,222385.206,14465.96,11
843,Condeúba,16888,16540,16424,16309,16193,0,0.58200002,0.4975,72516.782,4293.98,5
844,Camamu,35160,35610,35760,35910,36059,0,0.56500000,0.5484,182614.075,5193.80,5
845,Paraná,3952,4048,4080,4112,4143,0,0.58899999,0.4992,18859.117,4772.04,20
846,"São Bernardino",2679,2541,2495,2449,2402,0,0.67699999,0.4591,42684.008,15932.81,24
847,Seabra,41815,42533,42772,43012,43251,0,0.63499999,0.5803,241733.179,5781.02,5
848,"Rio Preto",5292,5337,5352,5367,5382,0,0.67900002,0.5295,37920.052,7165.54,11
849,Itapeva,8673,9067,9198,9329,9460,0,0.72000003,0.4851,119825.983,13815.98,11
850,Coluna,9024,8921,8886,8852,8817,0,0.58300000,0.5078,44893.112,4974.86,11
851,"Santa Cruz Do Escalvado",4996,4881,4843,4805,4767,0,0.62500000,0.4597,36872.167,7380.34,11
852,"São Geraldo Do Baixio",3487,3674,3736,3799,3861,0,0.63000000,0.4981,24954.681,7156.49,11
853,Pitimbu,17032,17964,18274,18585,18895,0,0.56999999,0.5106,94411.449,5543.18,15
854,"Santa Quitéria",42759,42874,42913,42951,42989,0,0.61600000,0.5679,222221.096,5197.06,6
855,Xangri-lá,12405,13667,14088,14509,14930,0,0.73500001,0.4355,187227.146,15092.88,23
856,"São Pedro Do Paraná",2494,2421,2396,2372,2348,0,0.70400000,0.4038,33799.945,13552.50,18
857,Palmeira,2376,2449,2473,2498,2522,0,0.67100000,0.4380,57819.512,24334.81,24
858,Ibicaré,3373,3309,3287,3266,3245,0,0.70800000,0.4371,47902.941,14201.88,24
